4.999999999753227398e-01 = 1.235200000000000000e+04 @ 9.236204687748251763e-01
3.000000000843040526e-01 = 1.811200000000000000e+04 @ 9.140349209753905191e-01
7.000000002020285716e-01 = 1.825600000000000000e+04 @ 9.129107317741074201e-01
8.999999995880353376e-01 = 2.371200000000000000e+04 @ 9.090934483324792925e-01
1.001586423243119861e-01 = 2.880000000000000000e+04 @ 9.009385527170425956e-01
1.108638548734719453e-01 = 3.640000000000000000e+04 @ 9.070236402428164535e-01
7.106953660112464988e-01 = 3.998400000000000000e+04 @ 9.031375019019122208e-01
5.104346874337292173e-01 = 4.084800000000000000e+04 @ 9.222299528797117674e-01
3.116986353982613700e-01 = 4.235200000000000000e+04 @ 9.184426824330610417e-01
8.854916748883916167e-02 = 4.684800000000000000e+04 @ 9.159526398410774428e-01
4.881630341447688592e-01 = 4.684800000000000000e+04 @ 9.999813707426870035e-01
2.886829715088500836e-01 = 4.713600000000000000e+04 @ 1.000000000000000000e+00
8.889332561026347390e-01 = 4.808000000000000000e+04 @ 1.000000000000000000e+00
6.890078706584543689e-01 = 4.896000000000000000e+04 @ 1.000000000000000000e+00
9.103375721723958591e-01 = 4.939200000000000000e+04 @ 1.000000000000000000e+00
