6.999999998288772840e-01 = 6.064000000000000000e+03 @ 9.274473670005717318e-01
2.999999998536784229e-01 = 1.552000000000000000e+04 @ 9.106347823047188372e-01
4.999999999979569676e-01 = 1.720000000000000000e+04 @ 9.012782051807834982e-01
9.000000004083572591e-01 = 2.091200000000000000e+04 @ 9.125853821791042320e-01
3.110809042008602643e-01 = 2.432000000000000000e+04 @ 9.258335984897970716e-01
1.014829719815384113e-01 = 2.886400000000000000e+04 @ 9.219424108600584589e-01
2.886676853598597603e-01 = 3.052800000000000000e+04 @ 9.004381210727837592e-01
5.118682630975798231e-01 = 3.532800000000000000e+04 @ 9.088580073527740000e-01
8.895453267301915989e-01 = 3.585600000000000000e+04 @ 9.983732803830207558e-01
4.898186327569137299e-01 = 4.113600000000000000e+04 @ 9.126966646337003608e-01
7.110882594319778427e-01 = 4.457600000000000000e+04 @ 1.000000000000000000e+00
6.881843145803194783e-01 = 4.548800000000000000e+04 @ 1.000000000000000000e+00
8.878347052156441988e-02 = 4.860800000000000000e+04 @ 1.000000000000000000e+00
9.100661507882172874e-01 = 4.952000000000000000e+04 @ 1.000000000000000000e+00
