5.000000002487255957e-01 6.250000001204607525e-01 = 1.686920000000000000e+05 @ -2.000000000957969704e+00
4.999999995236831807e-01 8.750000001077523626e-01 = 1.758630000000000000e+05 @ -2.000000000000000000e+00
1.666666666694176790e-01 1.250000001194107868e-01 = 1.848160000000000000e+05 @ -2.000000000000000000e+00
8.333333331573492542e-01 6.249999998588675609e-01 = 1.858730000000000000e+05 @ -2.000000000000000000e+00
8.333333333103637441e-01 1.249999999596752426e-01 = 1.895700000000000000e+05 @ -2.000000000000000000e+00
1.666666665399139380e-01 8.750000000879646356e-01 = 1.904830000000000000e+05 @ -2.000000000000000000e+00
8.333333335416577281e-01 3.750000002065834170e-01 = 1.915640000000000000e+05 @ -2.000000000000000000e+00
1.666666669527064326e-01 3.750000001869679966e-01 = 1.944690000000000000e+05 @ -2.000000000000000000e+00
5.000000001850138931e-01 3.750000002279248457e-01 = 1.953340000000000000e+05 @ -2.000000000000000000e+00
5.000000000514458476e-01 1.249999999339360679e-01 = 1.961270000000000000e+05 @ -2.000000000000000000e+00
1.666666664740169557e-01 6.249999997115903705e-01 = 1.971120000000000000e+05 @ -2.000000000000000000e+00
8.333326750042535647e-01 8.749996946520761654e-01 = 1.989600000000000000e+05 @ -2.000000000000000000e+00
