8.333333336691748361e-01 6.250000001299365060e-01 1.992000000000000000e+05 -2.000000000000000000e+00
5.000000004804984188e-01 1.250000000537034306e-01 1.985640000000000000e+05 -2.000000000000000000e+00
8.333333336162607186e-01 3.749999997245899164e-01 1.978750000000000000e+05 -2.000000000000000000e+00
8.333333335527058905e-01 1.249999995903774974e-01 1.972340000000000000e+05 -2.000000000000000000e+00
4.999999998113796584e-01 3.749999999822012375e-01 1.965330000000000000e+05 -2.000000000000000000e+00
4.999999998668627210e-01 6.250000001351206924e-01 1.958320000000000000e+05 -2.000000000000000000e+00
1.666666662547958144e-01 6.249999998023930692e-01 1.944710000000000000e+05 -2.000000000000000000e+00
1.666666669742982165e-01 8.749999999854682908e-01 1.925340000000000000e+05 -2.000000000000000000e+00
4.999999998612984498e-01 8.750000003426650075e-01 1.905250000000000000e+05 -2.000000000000000000e+00
1.666666673515014574e-01 1.250000003790628644e-01 1.898720000000000000e+05 -2.000000000000001776e+00
1.666666662576528068e-01 3.749999999333477052e-01 1.852710000000000000e+05 -2.000000000000000000e+00
8.347217935225079710e-01 8.732308661557182106e-01 1.740980000000000000e+05 -2.011977092107697374e+00
